company,state,market,lat,lon,phase,activity_type,evidence_status,status,mode,geometry_basis,source_url,source_date,verification_status,note
Beep,FL,Lake Nona,28.3772,-81.2064,deployment,deployment,current,public_service,shuttle,service_area_description_only,https://ridebeep.com/locations/lake-nona-fl,2026-09-22,verified_current_market,Five-route autonomous shuttle network in the 17-square-mile Lake Nona community.
Beep,GA,ATL Spoke,33.735,-84.413,deployment,deployment,current,public_service,shuttle,route_description_only,https://www.ridebeep.com/locations/atlspoke,2026-09-22,verified_current_market,Public autonomous shuttle pilot in Southwest Atlanta; approximately two miles on public streets.
Gatik,AR,Northwest Arkansas,36.3729,-94.2088,deployment,deployment,current,driverless_commercial,freight,regional_area_description,https://archive.gatik.ai/news/press-releases/gatik-becomes-first-us-company-to-operate-fully-driverless-trucks-at-scale-for-commercial-deliveries/,2026-09-22,source_verified_current,Gatik identifies Northwest Arkansas as a current fully driverless commercial operating market. Exact route polygons are not public.
Gatik,AZ,Phoenix Metro,33.4484,-112.074,deployment,deployment,current,driverless_commercial,freight,metro_area_description,https://archive.gatik.ai/news/press-releases/gatik-becomes-first-us-company-to-operate-fully-driverless-trucks-at-scale-for-commercial-deliveries/,2026-09-22,source_verified_current,Gatik identifies the Phoenix Metro area as a current fully driverless commercial operating market. Exact route polygons are not public.
Gatik,NE,Nebraska,,,deployment,deployment,current,commercial_autonomous_freight,freight,state_only_public_description,https://archive.gatik.ai/news/press-releases/gatik-becomes-first-us-company-to-operate-fully-driverless-trucks-at-scale-for-commercial-deliveries/,2026-09-22,source_verified_current,"Gatik says it deploys autonomous trucks commercially in Nebraska, but the cited source does not specify a city, route, or driverless status there."
Gatik,TX,Dallas–Fort Worth,32.7767,-96.797,deployment,deployment,current,driverless_commercial,freight,metro_area_description,https://archive.gatik.ai/news/press-releases/gatik-becomes-first-us-company-to-operate-fully-driverless-trucks-at-scale-for-commercial-deliveries/,2026-09-22,source_verified_current,Gatik identifies the Dallas–Fort Worth region as a current fully driverless commercial operating market. Exact route polygons are not public.
Glydways,GA,South Metro Atlanta,33.6407,-84.4277,deployment,deployment,announced,future_service_announced,transit,city_point_only,https://www.glydways.com/atlanta/,2026-09-22,source_verified_announcement,Publicly announced future passenger-service project. Not counted as current deployment.
Kodiak AI,TX,Dallas–Houston,31.1,-96.05,deployment,deployment,current,commercial_autonomous_freight,freight,route_corridor,https://kodiak.ai/news/roehl-transport-autonomous-freight,2026-09-22,verified_current_market,Kodiak reports autonomous commercial freight hauling on Dallas–Houston. Driverless/supervised status is not inferred from this source.
Kodiak AI,TX,Permian Basin,31.5,-102,deployment,deployment,current,driverless_commercial,freight,city_point_only,https://investors.kodiak.ai/news-releases/news-release-details/atlas-energy-solutions-expands-ai-enabled-digital-transformation,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
May Mobility,GA,Atlanta,33.749,-84.388,deployment,deployment,current,public_service,ridehail,city_point_only,https://maymobility.com/locations,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
May Mobility,MN,Eden Prairie,44.8547,-93.4708,deployment,deployment,current,public_service,shuttle,city_point_only,https://maymobility.com/locations,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
May Mobility,MN,Grand Rapids,47.2372,-93.5302,deployment,deployment,current,public_service,shuttle,city_point_only,https://maymobility.com/locations,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Mercedes-Benz R&D North America,CA,California freeway/highway deployment ODD,,,deployment,deployment,current,deployment_authorized,passenger,official_regulator_location_description,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-22,regulator_verified_current,"DMV authorizes deployment on specified California freeways/highways in the Bay Area, Los Angeles, Sacramento, San Diego, I-5 and I-15 subject to ODD conditions; this is regulatory authorization, not a robotaxi service claim."
Mobileye,CA,Los Angeles,34.0522,-118.2437,testing,testing,current,ADS_supplier_testing,ridehail,city_point_only,https://ir.mobileye.com/news-releases/news-release-details/mobileye-releases-first-quarter-2026-results-updates-full-year,2026-09-22,source_verified_current,Mobileye reports Mobileye Drive-powered ID. Buzz AVs testing on public roads in this city. This is supplier-linked testing and not a separate Mobileye-operated ride service.
Mobileye,FL,Orlando,28.5383,-81.3792,testing,testing,current,ADS_supplier_testing,ridehail,city_point_only,https://ir.mobileye.com/news-releases/news-release-details/mobileye-releases-first-quarter-2026-results-updates-full-year,2026-09-22,source_verified_current,Mobileye reports Mobileye Drive-powered ID. Buzz AVs testing on public roads in this city. This is supplier-linked testing and not a separate Mobileye-operated ride service.
Mobileye,TX,Austin,30.2672,-97.7431,testing,testing,current,ADS_supplier_testing,ridehail,city_point_only,https://ir.mobileye.com/news-releases/news-release-details/mobileye-releases-first-quarter-2026-results-updates-full-year,2026-09-22,source_verified_current,Mobileye reports Mobileye Drive-powered ID. Buzz AVs testing on public roads in this city. This is supplier-linked testing and not a separate Mobileye-operated ride service.
MOIA America,CA,Los Angeles,34.0522,-118.2437,deployment,deployment,announced,future_service_announced,ridehail,city_point_only,https://www.volkswagen-group.com/en/articles/moia-america-to-deploy-autonomous-id-buzz-vehicles-on-the-uber-platform-in-los-angeles-by-the-end-of-2026-20306,2026-09-22,source_verified_announcement,"Volkswagen/MOIA says Uber rides are expected after the current on-road validation testing; stored as an announced future deployment, separate from current testing."
MOIA America,CA,Los Angeles,34.0522,-118.2437,testing,testing,current,testing,ridehail,city_point_only,https://www.volkswagen-group.com/en/articles/moia-america-to-deploy-autonomous-id-buzz-vehicles-on-the-uber-platform-in-los-angeles-by-the-end-of-2026-20306,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
MOIA America,FL,Orlando,28.5383,-81.3792,testing,testing,current,testing,ridehail,city_point_only,https://ridebeep.com/partners/vehicle,2026-09-22,verified_current_market,"Beep says MOIA America is conducting on-road validation testing in Orlando, Los Angeles, and Austin."
MOIA America,TX,Austin,30.2672,-97.7431,testing,testing,current,testing,ridehail,city_point_only,https://ridebeep.com/partners/vehicle,2026-09-22,verified_current_market,"Beep says MOIA America is conducting on-road validation testing in Orlando, Los Angeles, and Austin."
Motional,NV,Las Vegas,36.1699,-115.1398,deployment,deployment,current,supervised_commercial,ridehail,city_point_only,https://motional.com/news/motional-robotaxis-now-available-uber-las-vegas,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Motional,NV,Las Vegas,36.1699,-115.1398,testing,testing,current,driverless_testing,ridehail,city_point_only,https://motional.com/news,2026-09-22,source_verified_current,"Motional reports driverless testing underway in Las Vegas, separate from its supervised public Uber service."
Nuro,CA,San Francisco Bay Area,37.7749,-122.4194,testing,testing,current,testing,ridehail,city_point_only,https://www.nuro.ai/blog/uber-nuro-and-lucid-to-bring-robotaxi-service-to-houston-in-2027,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Nuro,CA,San Mateo + Santa Clara Counties deployment ODD,,,deployment,deployment,current,deployment_authorized,ridehail,official_regulator_location_description,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-22,regulator_verified_current,"DMV authorizes Nuro deployment in San Mateo and Santa Clara Counties; this is regulatory deployment authorization, not evidence of current public commercial service."
Nuro,CA,Santa Clara + San Mateo Counties driverless-test ODD,,,testing,testing,current,driverless_testing_authorized,ridehail,official_regulator_location_description,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-22,regulator_verified_current,DMV authorizes Nuro driverless testing in Santa Clara and San Mateo Counties.
Nuro,TX,Houston,29.7604,-95.3698,deployment,deployment,announced,future_service_announced,ridehail,city_point_only,https://www.nuro.ai/blog/uber-nuro-and-lucid-to-bring-robotaxi-service-to-houston-in-2027,2026-09-22,source_verified_announcement,"Nuro says Houston robotaxi service is expected in 2027; stored as an announced future deployment, separate from current Houston testing."
Nuro,TX,Houston,29.7604,-95.3698,testing,testing,current,testing,ridehail,city_point_only,https://www.nuro.ai/blog/uber-nuro-and-lucid-to-bring-robotaxi-service-to-houston-in-2027,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
PlusAI,TX,Texas I-35 corridor,,,testing,testing,current,commercial_fleet_trial,freight,corridor_description_only,https://www.plus.ai/,2026-09-22,verified_current_market,PlusAI reports commercial fleet trials in Texas on the I-35 corridor; exact tested segment is not specified in the public source.
Tensor Auto,CA,San Jose driverless-test ODD,,,testing,testing,current,driverless_testing_authorized,passenger,official_regulator_location_description,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-22,regulator_verified_current,DMV authorizes Tensor Auto driverless testing in San Jose.
Tesla,FL,Miami,25.7617,-80.1918,deployment,deployment,current,public_service,ridehail,city_point_only,https://www.tesla.com/support/robotaxi,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Tesla,FL,Orlando,28.5383,-81.3792,deployment,deployment,current,public_service,ridehail,city_point_only,https://www.tesla.com/support/robotaxi,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Tesla,FL,Tampa,27.9506,-82.4572,deployment,deployment,current,public_service,ridehail,city_point_only,https://www.tesla.com/support/robotaxi,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Tesla,TX,Austin,30.2672,-97.7431,deployment,deployment,current,public_service,ridehail,city_point_only,https://www.tesla.com/support/robotaxi,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Tesla,TX,Dallas,32.7767,-96.797,deployment,deployment,current,public_service,ridehail,city_point_only,https://www.tesla.com/support/robotaxi,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Tesla,TX,Houston,29.7604,-95.3698,deployment,deployment,current,public_service,ridehail,city_point_only,https://www.tesla.com/support/robotaxi,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Torc,NM,New Mexico public-road test routes,,,testing,testing,current,testing,freight,state_only_public_description,https://torc.ai/frequently-asked-questions/,2026-09-22,verified_current_market,Torc says trucks are currently on road in a testing capacity in New Mexico; exact route geometry not public.
Torc,TX,Texas public-road test routes,,,testing,testing,current,testing,freight,state_only_public_description,https://torc.ai/frequently-asked-questions/,2026-09-22,verified_current_market,Torc says current testing routes include public roads in Texas; exact route geometry not public.
Torc,VA,Virginia public-road test routes,,,testing,testing,current,testing,freight,state_only_public_description,https://torc.ai/frequently-asked-questions/,2026-09-22,verified_current_market,Torc says current testing routes include public roads in Virginia; exact route geometry not public.
Waabi,TX,Dallas–Houston,31.1,-96.05,deployment,deployment,current,commercial_autonomous_freight,freight,route_corridor,https://waabi.ai/insights/80percent-growth-on-long-hauls-toughest-corridor,2026-09-22,verified_current_market,Waabi reports commercial autonomous freight operations on Dallas–Houston. Driverless/supervised status is not inferred from this source.
Waymo,AZ,Phoenix,33.4484,-112.074,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,CA,Los Angeles,34.0522,-118.2437,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,CA,Northern California DMV-approved ODD,,,deployment,deployment,current,deployment_authorized,ridehail,official_map_image,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/waymo-approved-areas-of-operation-for-driverless-testing-and-deployment/,2026-09-22,regulator_verified_current,California DMV publishes an approved ODD map for Waymo driverless testing and deployment. The Observatory does not digitize the image into a polygon unless a defensible vector boundary is available. Regulatory deployment authorization is distinct from current public rider-service availability.
Waymo,CA,Northern California DMV-approved ODD,,,testing,testing,current,driverless_testing_authorized,ridehail,official_map_image,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/waymo-approved-areas-of-operation-for-driverless-testing-and-deployment/,2026-09-22,regulator_verified_current,California DMV publishes an approved ODD map for Waymo driverless testing and deployment. The Observatory does not digitize the image into a polygon unless a defensible vector boundary is available. Regulatory deployment authorization is distinct from current public rider-service availability.
Waymo,CA,Sacramento,38.5816,-121.4944,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,CA,San Diego,32.7157,-117.1611,deployment,deployment,current,limited_public_service,ridehail,city_point_only,https://waymo.com/blog/2026/09/ride-in-denver-san-diego-tampa/,2026-09-22,verified_current_market,"Waymo began welcoming public riders September 1, 2026, with access expanding progressively; not labeled open-to-all unless the source says so."
Waymo,CA,San Francisco Bay Area,37.7749,-122.4194,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,CA,Southern California DMV-approved ODD,,,deployment,deployment,current,deployment_authorized,ridehail,official_map_image,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/waymo-approved-areas-of-operation-for-driverless-testing-and-deployment/,2026-09-22,regulator_verified_current,California DMV publishes an approved ODD map for Waymo driverless testing and deployment. The Observatory does not digitize the image into a polygon unless a defensible vector boundary is available. Regulatory deployment authorization is distinct from current public rider-service availability.
Waymo,CA,Southern California DMV-approved ODD,,,testing,testing,current,driverless_testing_authorized,ridehail,official_map_image,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/waymo-approved-areas-of-operation-for-driverless-testing-and-deployment/,2026-09-22,regulator_verified_current,California DMV publishes an approved ODD map for Waymo driverless testing and deployment. The Observatory does not digitize the image into a polygon unless a defensible vector boundary is available. Regulatory deployment authorization is distinct from current public rider-service availability.
Waymo,CO,Denver,39.7392,-104.9903,deployment,deployment,current,limited_public_service,ridehail,city_point_only,https://waymo.com/blog/2026/09/ride-in-denver-san-diego-tampa/,2026-09-22,verified_current_market,"Waymo began welcoming public riders September 1, 2026, with access expanding progressively; not labeled open-to-all unless the source says so."
Waymo,DC,Washington,38.9072,-77.0369,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,FL,Miami,25.7617,-80.1918,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,FL,Orlando,28.5383,-81.3792,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,FL,Tampa,27.9506,-82.4572,deployment,deployment,current,limited_public_service,ridehail,city_point_only,https://waymo.com/blog/2026/09/ride-in-denver-san-diego-tampa/,2026-09-22,verified_current_market,"Waymo began welcoming public riders September 1, 2026, with access expanding progressively; not labeled open-to-all unless the source says so."
Waymo,GA,Atlanta,33.749,-84.388,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,IL,Chicago,41.8781,-87.6298,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,LA,New Orleans,29.9511,-90.0715,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,MA,Boston,42.3601,-71.0589,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,MD,Baltimore,39.2904,-76.6122,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,MI,Detroit,42.3314,-83.0458,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,MN,Minneapolis,44.9778,-93.265,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,MO,St. Louis,38.627,-90.1994,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,NC,Charlotte,35.2271,-80.8431,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,NV,Las Vegas,36.1699,-115.1398,deployment,deployment,current,limited_public_service,ridehail,city_point_only,https://support.google.com/waymo/answer/9059119?hl=en,2026-09-22,official_service_area_current,"Waymo Help lists Las Vegas as a service area and says it is gradually adding riders. No current vector service-area boundary is ingested, so the map uses a market point."
Waymo,NY,New York,40.7128,-74.006,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,OR,Portland,45.5152,-122.6784,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,PA,Philadelphia,39.9526,-75.1652,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,PA,Pittsburgh,40.4406,-79.9959,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
Waymo,TN,Nashville,36.1627,-86.7816,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,TX,Austin,30.2672,-97.7431,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,TX,Dallas,32.7767,-96.797,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,TX,Houston,29.7604,-95.3698,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,TX,San Antonio,29.4241,-98.4936,deployment,deployment,current,public_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Waymo,WA,Seattle,47.6062,-122.3321,planned,planned,current,planned_service,ridehail,city_point_only,https://waymo.com/rides/,2026-09-22,verified_current_market,Waymo lists this market as Up Next; not counted as current deployment.
WeRide,CA,San Francisco Bay Area,37.7749,-122.4194,testing,testing,current,testing,ridehail,city_point_only,https://ir.weride.ai/static-files/64775d7b-a247-4baa-b482-e7d7f837e631,2026-09-22,verified_current_market,WeRide reports U.S. testing limited to the San Francisco Bay Area and Las Vegas; San Jose driverless testing is specifically permitted.
WeRide,CA,San Jose + Santa Clara driverless-test ODD,,,testing,testing,current,driverless_testing_authorized,ridehail,official_regulator_location_description,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-22,regulator_verified_current,DMV authorizes WeRide driverless testing in San Jose and Santa Clara.
WeRide,NV,Las Vegas,36.1699,-115.1398,testing,testing,current,testing,ridehail,city_point_only,https://ir.weride.ai/static-files/64775d7b-a247-4baa-b482-e7d7f837e631,2026-09-22,verified_current_market,WeRide reports U.S. testing limited to the San Francisco Bay Area and Las Vegas.
Zoox,CA,Foster City + San Francisco driverless-test ODD,,,testing,testing,current,driverless_testing_authorized,ridehail,official_regulator_location_description,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-22,regulator_verified_current,DMV authorizes Zoox driverless testing in Foster City and San Francisco.
Zoox,CA,Los Angeles,34.0522,-118.2437,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,source_verified_current,Zoox's 2026 backgrounder identifies this city as a testing-fleet market. No exact current test ODD polygon is asserted here.
Zoox,CA,San Diego,32.7157,-117.1611,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,verified_current_market,Zoox identifies this market in its current testing/operating footprint; precise public testing ODD boundary may be narrower.
Zoox,CA,San Francisco,37.7749,-122.4194,deployment,deployment,current,selected_riders,ridehail,city_point_only,https://zoox.com/community/,2026-09-22,verified_current_market,Free limited/waitlist service for selected riders; not general paid public service.
Zoox,CA,San Francisco Bay Area,37.7749,-122.4194,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,verified_current_market,Zoox identifies this market in its current testing/operating footprint; precise public testing ODD boundary may be narrower.
Zoox,DC,Washington,38.9072,-77.0369,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,verified_current_market,Zoox identifies this market in its current testing/operating footprint; precise public testing ODD boundary may be narrower.
Zoox,DC,"Washington, DC",38.9072,-77.0369,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,source_verified_current,Zoox's 2026 backgrounder identifies this city as a testing-fleet market. No exact current test ODD polygon is asserted here.
Zoox,FL,Miami,25.7617,-80.1918,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,source_verified_current,Zoox's 2026 backgrounder identifies this city as a testing-fleet market. No exact current test ODD polygon is asserted here.
Zoox,GA,Atlanta,33.749,-84.388,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,source_verified_current,Zoox's 2026 backgrounder identifies this city as a testing-fleet market. No exact current test ODD polygon is asserted here.
Zoox,NV,Las Vegas,36.1699,-115.1398,deployment,deployment,current,public_service,ridehail,city_point_only,https://zoox.com/community/,2026-09-22,verified_current_market,Paid public robotaxi service is live in Las Vegas.
Zoox,NV,Las Vegas,36.1699,-115.1398,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,verified_current_market,Zoox identifies this market in its current testing/operating footprint; precise public testing ODD boundary may be narrower.
Zoox,TX,Austin,30.2672,-97.7431,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,source_verified_current,Zoox's 2026 backgrounder identifies this city as a testing-fleet market. No exact current test ODD polygon is asserted here.
Zoox,TX,Houston,29.7604,-95.3698,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,verified_current_market,Zoox identifies this market in its current testing/operating footprint; precise public testing ODD boundary may be narrower.
Zoox,WA,Seattle,47.6062,-122.3321,testing,testing,current,testing,ridehail,city_point_only,https://zoox.com/common/files/global-202603-zoox-press-kit-backgrounder.pdf,2026-09-22,verified_current_market,Zoox identifies this market in its current testing/operating footprint; precise public testing ODD boundary may be narrower.
