id,level,jurisdiction,title,summary,takeaway,instrument,status,date,source_url,verified_at,fmvss,scope,effective_date,proposal_date,proposal_url,comment_deadline,comment_extension_url,rulemaking_id,added_in_final
fmvss-203-2022,federal,US,FMVSS 203 · Steering control impact,Excluded vehicles without steering controls from the steering control impact standard.,Exempts vehicles without steering controls from steering-control impact tests,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""203""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
fmvss-204-2022,federal,US,FMVSS 204 · Steering control rearward displacement,Excluded vehicles without steering controls from the steering column displacement standard.,Exempts vehicles without steering controls from steering-column displacement tests,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""204""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
fmvss-205-2022,federal,US,FMVSS 205 · Glazing materials,Updated the glazing standard's application to trucks designed to carry at least one person.,Updates glazing rules for trucks designed to carry occupants,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""205""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
fmvss-206-2022,federal,US,FMVSS 206 · Door locks and retention,Updated door definitions and applicability for vehicles without a conventional driver's seating position.,Updates door-lock rules for vehicles without a conventional driver seat,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""206""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
fmvss-207-2022,federal,US,FMVSS 207 · Seating systems,Required a designated driver's seat only where manually operated driving controls are present.,Requires a driver seat only when manual driving controls are present,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""207""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
fmvss-208-2022,federal,US,FMVSS 208 · Occupant crash protection,"Revised crash protection requirements, seating terminology and test procedures for vehicles without manual driving controls.",Adapts occupant crash protection and testing for vehicles without manual controls,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""208""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
fmvss-212-2022,federal,US,FMVSS 212 · Windshield mounting,"Conforming applicability change for trucks designed to carry at least one person, added in the final rule.",Updates windshield-mounting coverage for trucks carrying occupants,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""212""]",ADS-specific,2022-09-26,,,,,fmvss-2022-final,True
fmvss-214-2022,federal,US,FMVSS 214 · Side impact protection,Revised side impact test procedures and seating references for vehicles without traditional driver controls.,Adapts side-impact tests for vehicles without conventional driver controls,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""214""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
fmvss-216a-2022,federal,US,FMVSS 216a · Roof crush resistance,Updated applicability and test setup for roof crush protection in vehicles designed to carry occupants.,Updates roof-crush test setup for vehicles designed to carry occupants,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""216a""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
fmvss-219-2022,federal,US,FMVSS 219 · Windshield zone intrusion,"Conforming applicability change for trucks designed to carry at least one person, added in the final rule.",Updates windshield-intrusion coverage for trucks carrying occupants,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""219""]",ADS-specific,2022-09-26,,,,,fmvss-2022-final,True
fmvss-225-2022,federal,US,FMVSS 225 · Child restraint anchorages,Revised the shuttle bus definition to account for buses without manual driving controls.,Updates the shuttle-bus definition for buses without manual controls,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""225""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
fmvss-226-2022,federal,US,FMVSS 226 · Ejection mitigation,Updated applicability and test setup for ejection mitigation in vehicles without conventional driver controls.,Adapts ejection-mitigation tests for vehicles without conventional driver controls,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""226""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
